Country,HALE60MF,OWMF,HALEMF,AlcMF,Csect,TrDeath,TobMF
Australia,19,67.2,70.9,10.4,33.3,4.9,16.2
Austria,18.4,58.1,70.9,11.9,29.5,4.9,29.1
Bahrain,13.8,64.4,65.9,1.1,28,5.2,25.1
Barbados,16.3,55.3,67,10.4,21.3,8.2,8.7
Belgium,18.2,64.1,70.6,10.8,21.2,5.8,25
Canada,19,67.5,71.3,8.8,27.9,5.3,17.5
Croatia,16.2,64.3,68.6,8.7,23,7.9,36.6
Czech Republic,16.3,66.7,68.8,14.3,25.9,5.9,31.5
Denmark,18.2,59.2,71,10.1,19.5,3.7,18.6
Estonia,17.3,60.4,69.2,10.8,20.3,4.5,30.5
Finland,18.5,62.5,71,10.7,16.4,3.9,19.7
France,19.7,62.9,72.1,12.2,19.6,5.1,34.6
Germany,18.5,62.8,70.9,12.8,30.5,3.8,28
Hungary,15.3,65.4,67.2,11.1,36.4,7.7,30.6
Iceland,19,61.5,72,9.2,18.3,2,13.8
Ireland,18.6,63.6,71.1,12.7,31.3,3.1,23.6
Israel,19.3,65.3,72.4,4.4,16.1,3.9,25.5
Italy,18.9,64.1,71.9,8,35,5.3,23.4
Latvia,15.6,61.7,66.3,13.2,21.7,8.1,36.7
Lithuania,15.9,62.9,66.7,12.8,21.9,8.1,27.1
Luxembourg,18.5,61.7,71.6,12.4,30.5,4.1,21.7
Malta,18.9,70,71.5,8.3,30.7,4.1,25.1
Netherlands,18.4,62.6,71.4,9.7,16.6,4,23.4
New Zealand,18.6,68,70.2,10.7,25.5,9.6,14.8
Norway,18.5,61.7,71.4,7.1,16.1,2.1,13
Oman,13.2,56,64.7,0.9,19.5,10.6,9.6
Poland,16.8,62.4,68.7,11.9,35.6,9.4,26
Qatar,14.2,70.3,67.1,1.5,19.5,7.3,14
Slovakia,16.6,59.7,68.5,11.1,30.3,6.1,32.3
Spain,19.2,67.2,72.1,12.7,27.3,3.9,27.9
Sweden,18.9,59.9,71.9,9,17.4,3.1,28.8
Switzerland,19.5,57.9,72.5,11.2,33.3,2.2,25.1
United Arab Emirates,14.5,65.9,66,3.8,23.9,8.9,18.2
United Kingdom,18.3,67.2,70.1,11.4,27.8,3.2,19.2
United States of America,16.4,70.2,66.1,10,32,12.7,25.1
